BRAND;MODEL;COUNTRY_ORIGIN;COUNTRY_CODE
Mercedes;MERCEDES-BENZ GLЕ 400;Германия;DE
BMW;1 Series 3-door;Германия;DE
BMW;1 Series 5-door;Германия;DE
BMW;1 Series Convertible;Германия;DE
BMW;1 Series Coupe;Германия;DE
FSO;1.4 i 16V MPi Polonez III;Польша;PL
FSO;1.5 GL Polonez III;Польша;PL
FSO;1.6 GL Polonez III;Польша;PL
FSO;1.6 i GLi Polonez III;Польша;PL
Westfield;1.8 i;Виргинские о-ва (Британские);VG
FSO;1.9 D Polonez III;Польша;PL
ARO;10 16V;Румыния;RO
ARO;10 D;Румыния;RO
ARO;10 TD;Румыния;RO
ARO;10.2 Furgon;Румыния;RO
ARO;10.4 D;Румыния;RO
ARO;10-Jun;Румыния;RO
ARO;10.6 D;Румыния;RO
ARO;10-Sep;Румыния;RO
Skoda;100 Series;Чешская Республика;CZ
Peugeot;1007;Франция;FR
Nissan;100NX;Япония;JP
Skoda;105, 120;Чешская Республика;CZ
Peugeot;106;Франция;FR
Peugeot;107 3D;Франция;FR
Peugeot;107 3D 1.0;Франция;FR
Peugeot;107 5D;Франция;FR
Peugeot;107 5D 1.0;Франция;FR
ЗАЗ;110307-40;Украина;UA
ЗАЗ;110307-42;Украина;UA
ЗАЗ;110308-40;Украина;UA
ЗАЗ;110557-42;Украина;UA
ЗАЗ;110557-44;Украина;UA
ЗАЗ;110557-51;Украина;UA
ЗАЗ;110557-53;Украина;UA
ЗАЗ;110557-70;Украина;UA
ЗАЗ;110557-71;Украина;UA
Skoda;1200;Чешская Республика;CZ
Fiat;124 Spider;Италия;IT
Fiat;125;Италия;IT
Fiat;126;Италия;IT
Fiat;127;Италия;IT
Dacia;1310 1.4;Румыния;RO
Dacia;1310 1.6;Румыния;RO
ЗАЗ;1311-40;Украина;UA
ЗАЗ;1311-71;Украина;UA
Volvo;140 Series;Швеция;SE
Alfa Romeo;147 1.6L 5M;Италия;IT
Alfa Romeo;147 2.0L 5M;Италия;IT
Alfa Romeo;147 2.0L AT;Италия;IT
Alfa Romeo;159 1.9L MT;Италия;IT
Alfa Romeo;159 2.2L AT;Италия;IT
Alfa Romeo;159 2.2L MT;Италия;IT
Alfa Romeo;159 3.2L;Италия;IT
Alfa Romeo;159 SW 1.9L MT;Италия;IT
Alfa Romeo;159 SW 2.2L AT;Италия;IT
Alfa Romeo;159 SW 2.2L MT;Италия;IT
Alfa Romeo;159 SW 3.2L;Италия;IT
Alfa Romeo;166 2.0L;Италия;IT
Alfa Romeo;166 2.4L;Италия;IT
Alfa Romeo;166 2.5L;Италия;IT
Alfa Romeo;166 3.0L;Италия;IT
Nissan;180SX;Япония;JP
Renault;19;Франция;FR
Mazda;2 1.3 MT5 Direct;Япония;JP
Mazda;2 1.5 AT4 Energy;Япония;JP
Mazda;2 1.5 AT4 Sport;Япония;JP
Mazda;2 1.5 MT5 Energy;Япония;JP
Mazda;2 1.5 MT5 Sport;Япония;JP
LANDMARK;2.4 AWD;Китай;CN
Toyota;2000GT;Япония;JP
Peugeot;2008;Франция;FR
Rolls Royce;200EX;Виргинские о-ва (Британские);VG
Nissan;200SX;Япония;JP
Peugeot;205;Франция;FR
Peugeot;206 3D 1.4;Франция;FR
Peugeot;206 5D 1.4;Франция;FR
Peugeot;206 Sedan;Франция;FR
Peugeot;206 Sedan 1.4;Франция;FR
Peugeot;207 3D;Франция;FR
Peugeot;207 3D 1.4;Франция;FR
Peugeot;207 3D 1.6;Франция;FR
Peugeot;207 5D;Франция;FR
Peugeot;207 5D 1.4;Франция;FR
Peugeot;207 5D 1.6;Франция;FR
Peugeot;207 CC;Франция;FR
Peugeot;207 CC 1.6;Франция;FR
Peugeot;208;Франция;FR
Peugeot;208 GTi;Франция;FR
ИЖ;2126 1.6;Россия;RU
ИЖ;2126 1.7;Россия;RU
ИЖ;2126 1.8;Россия;RU
ИЖ;2126 4x4 1.6;Россия;RU
ИЖ;2126 4x4 1.7;Россия;RU
ИЖ;2126 4x4 1.8;Россия;RU
ИЖ;21261 4X4 1.7;Россия;RU
Mercedes;223602;Германия;DE
Maserati;228 2.8 i;Италия;IT
Renault;23;Франция;FR
УАЗ;23632;Россия;RU
УАЗ;23632-130;Россия;RU
УАЗ;23632-131;Россия;RU
УАЗ;23632-230;Россия;RU
УАЗ;23632-231;Россия;RU
ARO;24 12V;Румыния;RO
ARO;24 4WD;Румыния;RO
ARO;24 D;Румыния;RO
ARO;24 TD;Румыния;RO
Volvo;240 Series;Швеция;SE
Nissan;240SX;Япония;JP
Datsun;240Z;Япония;JP
Derways;240Z;Россия;RU
ARO;243 2.3;Румыния;RO
ARO;243 D;Румыния;RO
ARO;244;Румыния;RO
ARO;244 4WD;Румыния;RO
ARO;245;Румыния;RO
JAC;245;Китай;CN
ARO;246 4WD;Румыния;RO
Mitsuoka;24LX;Япония;JP
Renault;25;Франция;FR
Rover;25 1.1 i;Виргинские о-ва (Британские);VG
Rover;25 2.0;Виргинские о-ва (Британские);VG
Ferrari;250 GTO;Италия;IT
ИЖ;2717-220;Россия;RU
ИЖ;2717-230;Россия;RU
Datsun;280Z;Япония;JP
Nissan;280ZX;Япония;JP
Datsun;280ZX;Япония;JP
Москвич;3;Россия;RU
Mazda;3 Hatchback 1.6;Япония;JP
Mazda;3 Hatchback 2.0;Япония;JP
Mazda;3 MPS 2.3;Япония;JP
Mazda;3 Sedan 1.6;Япония;JP
Mazda;3 Sedan 2.0;Япония;JP
BMW;3 Series Convertible;Германия;DE
BMW;3 Series Coupe;Германия;DE
BMW;3 Series Sedan;Германия;DE
BMW;3 Series Touring;Германия;DE
Volvo;300 Series;Швеция;SE
Indigo;3000;Индия;IN
Mitsubishi;3000 GT;Япония;JP
Peugeot;3008;Франция;FR
Chrysler;300C 2.7;США;US
Chrysler;300C 3.5;США;US
Chrysler;300C SRT-8;США;US
Nissan;300ZX;Япония;JP
Peugeot;301;Франция;FR
Peugeot;306;Франция;FR
Peugeot;307;Франция;FR
Peugeot;308;Франция;FR
Peugeot;308 1.6;Франция;FR
Peugeot;308 2.0;Франция;FR
Peugeot;308 Break;Франция;FR
Peugeot;308 Break 1.6;Франция;FR
Peugeot;308 SW;Франция;FR
Peugeot;308 SW 1.6;Франция;FR
Peugeot;308 SW 2.0;Франция;FR
Derways;3131 Cowboy;Россия;RU
УАЗ;315148-053;Россия;RU
УАЗ;315195-051;Россия;RU
УАЗ;3159;Россия;RU
УАЗ;3162;Россия;RU
УАЗ;3163-024;Россия;RU
УАЗ;3163-034;Россия;RU
УАЗ;3163-118;Россия;RU
УАЗ;3163-120;Россия;RU
УАЗ;3163-228;Россия;RU
УАЗ;3163-229;Россия;RU
УАЗ;3163-230;Россия;RU
УАЗ;3163-340;Россия;RU
Maserati;3200GT 3.2;Италия;IT
Ferrari;328 GTB;Италия;IT
Nissan;350;Япония;JP
Maserati;3500;Италия;IT
Nissan;350Z;Япония;JP
Ferrari;360 Modena;Италия;IT
Ferrari;365 GTS4 (Daytona);Италия;IT
DongFeng;370;Китай;CN
Nissan;370Z;Япония;JP
УАЗ;396255;Россия;RU
Москвич;3e;Россия;RU
Westfield;4.0 i;Виргинские о-ва (Британские);VG
Peugeot;4007;Франция;FR
Peugeot;4007 2.2;Франция;FR
Peugeot;4007 2.4;Франция;FR
Peugeot;4008;Франция;FR
Peugeot;405;Франция;FR
Peugeot;406;Франция;FR
Peugeot;407;Франция;FR
Peugeot;407 1.8;Франция;FR
Peugeot;407 2.0;Франция;FR
Peugeot;407 2.2;Франция;FR
Peugeot;407 3.0;Франция;FR
Peugeot;407 Coupe;Франция;FR
Peugeot;407 Coupe 2.2;Франция;FR
Peugeot;407 Coupe 3.0;Франция;FR
Peugeot;408;Франция;FR
International;4200;США;US
Maserati;4300GT 4.3;Италия;IT
Volvo;440;Швеция;SE
Rover;45 1.4 i;Виргинские о-ва (Британские);VG
Rover;45 1.6 i;Виргинские о-ва (Британские);VG
Rover;45 1.8 i;Виргинские о-ва (Британские);VG
Rover;45 2.0;Виргинские о-ва (Британские);VG
Rover;45 2.0 i;Виргинские о-ва (Британские);VG
Ferrari;456GT;Италия;IT
Volvo;460;Швеция;SE
Toyota;4Runner;Япония;JP
Москвич;5;Россия;RU
Mazda;5 1.8 MT5 Family;Япония;JP
